,音节,构件数量,频率
2058,བེའུ,4,20266
2059,སྨྱོ,4,20236
2060,སིང,3,20228
2061,འདུམ,4,20226
2062,གཅེན,4,20212
2063,དཔངས,4,20210
2064,སྒོག,4,20202
2065,རྨིས,4,20192
2066,འཕན,3,20150
2067,མངས,3,20094
2068,གྱལ,3,20048
2069,བཏུབ,4,19892
2070,ཚི,2,19780
2071,སྣག,3,19760
2072,གློད,4,19716
2073,བསྣོལ,5,19660
2074,སྟོངས,5,19640
2075,ཆོམ,3,19626
2076,བསྔོས,5,19604
2077,གཡུག,4,19604
2078,སྐོལ,4,19598
2079,ཀྲིག,4,19458
2080,བཤུས,4,19446
2081,ཆོན,3,19436
2082,གཟིངས,5,19424
2083,འགེལ,4,19422
2084,སྦུག,4,19382
2085,ཙོ,2,19262
2086,འཇང,3,19180
2087,མཚལ,3,19142
2088,བརླ,3,19142
2089,ཁད,2,19138
2090,མཚེས,4,19030
2091,དྲོན,4,18950
2092,སྡིགས,5,18890
2093,མདོས,4,18828
2094,ཧྲེ,3,18798
2095,སྤོགས,5,18752
2096,རོས,3,18708
2097,བཀྲག,4,18702
2098,ཧང,2,18626
2099,རྡོལ,4,18600
2100,ཕིན,3,18594
2101,རྐེད,4,18544
2102,བརྗེས,5,18540
2103,སྒྲོས,5,18538
2104,བཀྲལ,4,18428
2105,དཔེས,4,18420
2106,བཀབ,3,18392
2107,འགྱེལ,5,18392
2108,ཀོར,3,18342
2109,མཐེབ,4,18312
2110,བསྐངས,5,18310
2111,སྲོད,4,18284
2112,ཁྱམས,4,18242
2113,ངུས,3,18116
2114,པིན,3,18114
2115,འཆོར,4,18076
2116,ཁྲོལ,4,18056
2117,རྒྱར,4,18038
2118,སྒེའུ,5,18014
2119,གཟིར,4,17978
2120,བསྲེལ,5,17966
2121,ཀྲོང,4,17932
2122,ཁྲུན,4,17932
2123,རིངས,4,17894
2124,བགྲངས,5,17836
2125,འགྱུ,4,17730
2126,དམོད,4,17728
2127,ཞུར,3,17714
2128,ལྟོགས,5,17692
2129,གྲུམ,4,17662
2130,འདིང,4,17620
2131,བརྐོ,4,17604
2132,མཚང,3,17590
2133,འཛོལ,4,17588
2134,ཕྱར,3,17550
2135,ཨམ,2,17508
2136,འཕྱར,4,17500
2137,རྒུན,4,17452
2138,སྐྱེམས,6,17452
2139,བླུད,4,17418
2140,གུན,3,17402
2141,སྐྱུགས,6,17392
2142,ཕངས,3,17382
2143,དྲེག,4,17344
2144,ཕྱིང,4,17342
2145,བསྒོས,5,17316
2146,གྲེ,3,17302
2147,རྔུབ,4,17284
2148,མཆིལ,4,17254
2149,ཕྱྭ,3,17252
2150,ཏིས,3,17210
2151,འཕིགས,5,17184
2152,སྒུར,4,17184
2153,བརྐྱངས,6,17150
2154,གྲོངས,5,17148
2155,འབྲོམ,5,17140
2156,གཡབ,3,17106
2157,མྱངས,4,17098
2158,ཆུན,3,17090
2159,སྨིག,4,17086
2160,ཕེ,2,17076
2161,སན,2,17040
2162,འབེབ,4,17034
2163,གཡུར,4,16972
2164,ཆུག,3,16956
2165,གདང,3,16922
2166,བྱེས,4,16916
2167,ཅོན,3,16908
2168,ཟིག,3,16908
2169,བྱིའུ,5,16894
2170,འཇིམ,4,16848
2171,འདྲིལ,5,16822
2172,ནོད,3,16776
2173,སྐྱིན,5,16740
2174,ཅོང,3,16736
2175,འཐུ,3,16724
2176,མཛེ,3,16724
2177,གླེན,4,16720
2178,བསྲིང,5,16682
2179,དྲལ,3,16674
2180,དབོར,4,16660
2181,གསས,3,16648
2182,འཆགས,4,16642
2183,སྒྲེང,5,16610
2184,བཞུ,3,16600
2185,ཝི,2,16544
2186,རྐོ,3,16540
2187,ཏམ,2,16526
2188,བཏེག,4,16498
2189,བསྟི,4,16456
2190,འདག,3,16454
2191,བསླུས,5,16440
2192,ཐགས,3,16434
2193,གཡེར,4,16428
2194,གཟུ,3,16406
2195,འཚོག,4,16366
2196,བརྐུས,5,16360
2197,འཕྲི,4,16358
2198,རྨོས,4,16308
2199,གཅི,3,16290
2200,གེས,3,16264
2201,བླུག,4,16234
2202,གུལ,3,16232
2203,ཐོལ,3,16230
2204,བཅུས,4,16224
2205,ཁྲམ,3,16222
2206,རྩེན,4,16206
2207,བརྡེག,5,16200
2208,སོད,3,16150
2209,ནོངས,4,16134
2210,མཆོངས,5,16130
2211,འཆོལ,4,16102
2212,ཁུགས,4,16100
2213,ཟླས,3,16094
2214,ནེའུ,4,16074
2215,ཏྭ,2,15916
2216,ལད,2,15912
2217,གྲྭས,4,15900
2218,ལྡིར,4,15882
2219,ཙོག,3,15874
2220,བཟི,3,15858
2221,ཀུའུ,4,15850
2222,གཡོལ,4,15828
2223,བསྙད,4,15818
2224,གཟིམས,5,15802
2225,གླུད,4,15802
2226,བསྲང,4,15788
2227,བེར,3,15786
2228,དུངས,4,15758
2229,ཟླར,3,15756
2230,གདུངས,5,15752
2231,སུངས,4,15742
2232,ངེར,3,15730
2233,ངད,2,15726
2234,ཤགས,3,15708
2235,སྨེ,3,15682
2236,བཟངས,4,15640
2237,ཐུའུ,4,15632
2238,གཡེལ,4,15630
2239,སྤྲ,3,15602
2240,སྐྱེར,5,15600
2241,རྒྱམ,4,15594
2242,འཕྱོ,4,15592
2243,ལྷོག,4,15552
2244,སྐྱོངས,6,15550
2245,ཟོང,3,15512
2246,སྡེས,4,15510
2247,སྐྱར,4,15508
2248,རུངས,4,15492
2249,སྡིངས,5,15450
2250,རློབ,4,15432
2251,བསྟིམ,5,15424
2252,ཁོད,3,15424
2253,ཀྲེན,4,15422
2254,བཤམ,3,15418
2255,མྱྀ,3,15398
2256,མྱེས,4,15356
2257,དཀོར,4,15344
2258,སྒྲུབས,6,15342
2259,གཤིབ,4,15320
2260,ཧམ,2,15284
2261,བཅང,3,15274
2262,ཏེང,3,15238
2263,གསད,3,15194
2264,ཤངས,3,15188
2265,རྡེབ,4,15174
2266,འཆའ,3,15164
2267,གདིང,4,15162
2268,འགྲེ,4,15152
2269,གླགས,4,15150
2270,ཏས,2,15128
2271,ཤིགས,4,15120
2272,སྒལ,3,15080
2273,སྐེམ,4,15068
2274,ཁྲེ,3,15012
2275,འབུངས,5,15000
2276,གཤོང,4,14998
2277,བརྒྱུགས,7,14950
2278,ཤུད,3,14946
2279,འཕྱ,3,14932
2280,ཐོངས,4,14904
2281,བུལ,3,14884
2282,དབྱེན,5,14872
2283,བདར,3,14848
2284,བརྡོལ,5,14820
2285,ཉུལ,3,14794
2286,འགྲིམས,6,14788
2287,འདྲར,4,14714
2288,པའེ,3,14702
2289,ཀྲན,3,14680
2290,སྨ,2,14664
2291,གཏམས,4,14656
2292,འཁར,3,14650
2293,ཅཱ,2,14632
2294,ཕྱོད,4,14624
2295,རྔུ,3,14604
2296,བརྒྱས,5,14602
2297,སིར,3,14602
2298,རྨུགས,5,14586
2299,སྐྱུ,4,14562
2300,རྩིར,4,14514
2301,བདའ,3,14476
2302,དགང,3,14440
2303,དྲོས,4,14420
2304,མཚོག,4,14376
2305,ཏེན,3,14372
2306,གོད,3,14358
2307,བསྐྱང,5,14352
2308,མཐོལ,4,14350
2309,དངངས,4,14324
2310,ཆེམས,4,14304
2311,འཕྱོངས,6,14296
2312,འུག,3,14264
2313,ཀྱོག,4,14252
2314,ལྐུགས,5,14116
2315,རྡེའུ,5,14070
2316,ཀླས,3,14022
2317,འཚེམ,4,14018
2318,ཇུ,2,13976
2319,བཤོས,4,13964
2320,ལྷབ,3,13916
2321,ཟགས,3,13914
2322,བྱེའུ,5,13904
2323,སྤུར,4,13902
2324,ཡིབ,3,13854
2325,སྔས,3,13836
2326,གཏོ,3,13828
2327,མྱིག,4,13804
2328,རྦབ,3,13796
2329,བརྟོལ,5,13784
2330,སྲད,3,13780
2331,སྤྲིངས,6,13770
2332,བཙོངས,5,13746
2333,བསྙོན,5,13742
2334,གདུབ,4,13712
2335,འཁྱུར,5,13706
2336,ལྒང,3,13668
2337,ཛུ,2,13650
2338,སྒྱིད,5,13648
2339,བདོག,4,13636
2340,ཟེགས,4,13610
2341,བཤོལ,4,13590
2342,བྱུར,4,13528
2343,རྨོག,4,13520
2344,འདན,3,13504
2345,ཨེན,3,13500
2346,དྲུབ,4,13464
2347,དྲེད,4,13434
2348,འཁོབ,4,13410
2349,གཙོད,4,13368
2350,རོམ,3,13324
2351,ཡམ,2,13320
2352,དཀྲུག,5,13320
2353,ཅུར,3,13312
2354,ལུམས,4,13308
2355,བྱེར,4,13268
2356,ཀུའེ,4,13260
2357,སྨྲོས,5,13244
2358,ཀླ,2,13196
2359,སྟོ,3,13162
2360,བཟས,3,13154
2361,སྟོར,4,13076
2362,འཇོལ,4,13068
2363,འཐོན,4,13062
2364,ཁུན,3,13052
2365,དས,2,13016
2366,ཚིས,3,12996
2367,སྨྲིག,5,12972
2368,ཧིན,3,12930
2369,གཤེ,3,12900
2370,གྱར,3,12872
2371,འཐུལ,4,12842
2372,འཇུས,4,12804
2373,གྲུང,4,12782
2374,བརྒྱུས,6,12746
2375,རོན,3,12746
2376,བསྐུམ,5,12738
2377,འཐུན,4,12734
2378,བསྐྱོན,6,12716
2379,འཇེབས,5,12656
2380,དངས,3,12642
2381,ཧར,2,12596
2382,སྤྱིན,5,12594
2383,བསུང,4,12588
2384,ཨོྃ,3,12586
2385,སུལ,3,12584
2386,སླེ,3,12584
2387,ཚུ,2,12574
2388,ཀྲེང,4,12570
2389,སྣུར,4,12568
2390,ཕོབ,3,12562
2391,རྨེ,3,12558
2392,རྐྱ,3,12556
2393,སག,2,12486
2394,བསྡམ,4,12482
2395,སྙེམས,5,12478
2396,གྱད,3,12452
2397,རླན,3,12444
2398,བསྡོགས,6,12436
2399,སྦེད,4,12378
2400,བསྒྲེངས,7,12362
2401,སྤོངས,5,12350
2402,རྨིག,4,12338
2403,ཁོན,3,12306
2404,མྱུལ,4,12302
2405,ཀོས,3,12294
2406,འཚོས,4,12272
2407,གཡེངས,5,12256
2408,ལྡེང,4,12250
2409,ཕྲོགས,5,12186
2410,རྔམས,4,12126
2411,ཚག,2,12122
2412,འབེལ,4,12100
2413,འགེངས,5,12076
2414,མནོས,4,12024
2415,རྩེས,4,12016
2416,དྲས,3,11988
2417,བསྙེགས,6,11972
2418,ཙག,2,11960
2419,སྐྱོབས,6,11940
2420,གག,2,11928
2421,མཚོད,4,11910
2422,ཁྭ,2,11894
2423,འཁྱམ,4,11864
2424,བཙིར,4,11858
2425,སྨྲེ,4,11832
2426,ཕང,2,11820
2427,ཚོག,3,11820
2428,སྦུ,3,11816
2429,གྲོད,4,11808
2430,ཏུར,3,11798
2431,སྐུས,4,11792
2432,ཅུད,3,11748
2433,སྐྱེན,5,11738
2434,འབུས,4,11730
2435,སྲིབ,4,11720
2436,ཅེར,3,11716
2437,འཆག,3,11712
2438,དཀྲི,4,11696
2439,ཆེམ,3,11676
2440,འཁྲོལ,5,11676
2441,ཧུད,3,11658
2442,སོབ,3,11658
2443,འཁུམས,5,11646
2444,ཕྱགས,4,11626
2445,སྲོ,3,11592
2446,འབོལ,4,11554
2447,སོམ,3,11546
2448,བསྙལ,4,11532
2449,ཙང,2,11532
2450,འཁྲུད,5,11488
2451,དགྲོལ,5,11480
2452,མནལ,3,11458
2453,འཁྲིལ,5,11446
2454,བྲིད,4,11430
2455,དུགས,4,11406
2456,ཡོར,3,11400
2457,སྤྱིལ,5,11398
2458,ཟེའུ,4,11396
2459,རྐན,3,11390
2460,མཚུར,4,11360
2461,སྒྲར,4,11340
2462,འདྲུད,5,11336
2463,དཔྱངས,5,11300
2464,རྐུབ,4,11236
2465,ཉོག,3,11228
2466,སྨག,3,11214
2467,འཛེམས,5,11130
2468,འདོ,3,11106
2469,འགོང,4,11092
2470,རྫུས,4,11066
2471,འབིགས,5,11044
2472,འབྲུབ,5,11022
2473,བསྐྱབ,5,11002
2474,འཁྲིས,5,10972
2475,གཟོ,3,10944
2476,འཆབ,3,10890
2477,དོལ,3,10886
2478,བཤུ,3,10868
2479,གཟུར,4,10822
2480,མཐོངས,5,10808
2481,སྦེ,3,10796
2482,ཨིན,3,10784
2483,སྒོམས,5,10778
2484,མདང,3,10778
2485,མཆིམས,5,10778
2486,བཏིངས,5,10750
2487,གོག,3,10750
2488,འཚོར,4,10718
2489,སྨྱུང,5,10672
2490,བཀྲོངས,6,10652
2491,སྦྱོངས,6,10612
2492,གཞོག,4,10558
2493,བསྒྲེང,6,10548
2494,བསྣུབས,6,10540
2495,བརྫངས,5,10534
2496,བཤས,3,10400
2497,བརྒྱག,5,10238
2498,འཐིབས,5,10100
2499,གཏུབ,4,10092
2500,ཙུ,2,16790
2501,ཀློ,3,13296
2502,ཝུ,2,12380
2503,ཀྱ,2,12254
2504,སྩོགས,5,11550
2505,ཧོས,3,11328
2506,ཉྭ,2,11262
2507,བསྐུ,4,11116
2508,ཐཱན,3,11110
2509,ཡེར,3,10788
2510,སྤྱོར,5,10674
2511,བརྟས,4,10612
2512,གདོལ,4,10544
2513,ཆོལ,3,10512
2514,སྟེན,4,10464
2515,ཚིམས,4,10446
2516,རྩིབ,4,10398
2517,ཧྲེན,4,10390
2518,མཚེར,4,10360
2519,དབུར,4,10358
2520,འདྲིར,5,10334
2521,ཡོག,3,10326
2522,དགོ,3,10284
2523,ལྷུབ,4,10276
2524,ཧྥང,3,10260
2525,ཀེང,3,10230
2526,ཛོ,2,10230
2527,འཕྱི,4,10216
2528,འགྲིགས,6,10154
2529,མཉེ,3,10136
2530,རྡིབ,4,10122
2531,ཡིའུ,4,10104
2532,སྦོས,4,10100
2533,བསྐ,3,10092
2534,ཝེར,3,10086
2535,རྐ,2,10032
2536,ཆིའུ,4,10030
2537,གླན,3,10020
2538,འཚབ,3,10006
2539,བསྐུས,5,10002
2540,གཅུན,4,9998
2541,བསྐྱབས,6,9978
2542,ཙིག,3,9968
2543,ཧྥན,3,9966
2544,གཡུགས,5,9940
2545,ཨུས,3,9938
2546,བྲུ,3,9938
2547,སྒྲུག,5,9924
2548,རྔོ,3,9904
2549,སྲུབས,5,9874
2550,འབྲོ,4,9872
2551,གཉོར,4,9870
2552,གཞེས,4,9862
2553,སྙུང,4,9840
2554,དྲེལ,4,9824
2555,ཕྱ,2,9822
2556,དགེས,4,9800
2557,ཧྲུལ,4,9766
2558,བརྡབས,5,9756
2559,བྷོད,4,9712
2560,ཤུབས,4,9702
2561,གནོང,4,9682
2562,བསླེབ,5,9664
2563,ཛམ,2,9656
2564,རྫབ,3,9652
2565,ཝུའེ,4,9652
2566,ཚེམས,4,9618
2567,འཛེར,4,9592
2568,སོམས,4,9558
2569,འདོང,4,9544
2570,ལུན,3,9538
2571,དེའུ,4,9524
2572,སྲུ,3,9504
2573,ཧྥུན,4,9500
2574,ཀླན,3,9494
2575,མཇེད,4,9486
2576,གྱུ,3,9476
2577,མྱེ,3,9454
2578,གཟས,3,9444
2579,མཁོར,4,9432
2580,གཉོམ,4,9420
2581,ལེང,3,9408
2582,བརླགས,5,9378
2583,བསྐྱིལ,6,9362
2584,གཡེམ,4,9352
2585,འབོག,4,9352
2586,དྲོངས,5,9344
2587,ཧྥིན,4,9316
2588,སྟང,3,9314
2589,སིབ,3,9294
2590,དྲུད,4,9266
2591,སྤྲུགས,6,9262
2592,བྱིད,4,9260
2593,འབྲོས,5,9212
2594,ཅོར,3,9212
2595,འཕྱེ,4,9172
2596,གཤག,3,9156
2597,རྨིད,4,9148
2598,འཚིག,4,9052
2599,གཞང,3,9048
2600,བརྩད,4,9042
2601,ཅེན,3,8984
2602,སྣེའུ,5,8976
2603,ཕྲི,3,8966
2604,སྦྲིད,5,8938
2605,བསག,3,8914
2606,བསྐོན,5,8904
2607,བསྟབས,5,8896
2608,རྨོད,4,8886
2609,འཕྲོགས,6,8880
2610,བཏུ,3,8866
2611,སྤྲིང,5,8860
2612,སྐྱག,4,8824
2613,ཐེའུ,4,8820
2614,བཅགས,4,8812
2615,ཟར,2,8806
2616,དབའ,3,8780
2617,རྒྱངས,5,8766
2618,སྣབས,4,8760
2619,ཛེ,2,8756
2620,འགྲོན,5,8742
2621,སྨྱུ,4,8742
2622,གྲིས,4,8742
2623,འགེབས,5,8710
2624,ཕབས,3,8702
2625,གྲུར,4,8686
2626,ཆིལ,3,8684
2627,སྐྲོད,5,8660
2628,ཏྲེ,3,8626
2629,དབན,3,8624
2630,མད,2,8590
2631,ཧྲག,3,8562
2632,དགྱེ,4,8558
2633,སྒྲིམ,5,8548
2634,གཏའ,3,8530
2635,བལྟར,4,8526
2636,འགྲམས,5,8518
2637,སུར,3,8492
2638,སྨེལ,4,8468
2639,ཚའེ,3,8462
2640,མྱིང,4,8452
2641,བརྫུས,5,8452
2642,འཕྲོར,5,8444
2643,སྙ,2,8426
2644,སྲུབ,4,8424
2645,མཆིད,4,8420
2646,སྦངས,4,8414
2647,ལེས,3,8386
2648,བླུ,3,8378
2649,སྙེགས,5,8374
2650,ཁུས,3,8370
2651,ཕི,2,8360
2652,ཞོད,3,8358
2653,གདུ,3,8358
2654,ལྦུ,3,8342
2655,ཟོམ,3,8328
2656,ལོད,3,8328
2657,བཀྱེ,4,8318
2658,ཧྥེང,4,8314
2659,གསུས,4,8310
2660,སྤྲི,4,8298
2661,འབྱོངས,6,8296
2662,དངར,3,8284
2663,སྤྱོ,4,8264
2664,མཚེ,3,8244
2665,རྩང,3,8244
2666,སྐམས,4,8238
2667,ཟུམ,3,8236
2668,ཀྱུས,4,8190
2669,བརྫིས,5,8184
2670,མཐས,3,8180
2671,གཙེས,4,8156
2672,འབོ,3,8148
2673,དམེ,3,8142
2674,པེར,3,8140
2675,ཧྥི,3,8140
2676,སྡེབས,5,8138
2677,གྱོ,3,8130
2678,འཇག,3,8124
2679,འཐུག,4,8120
2680,བསྒྲིག,6,8080
2681,ཟློ,3,8074
2682,སྒྲིགས,6,8068
2683,མའེ,3,8062
2684,འཚེད,4,8044
2685,ཧྲིག,4,8042
2686,ཟུ,2,8022
2687,ཝོ,2,7976
2688,དབྱིས,5,7966
2689,ཕྱུངས,5,7966
2690,སྐྱོགས,6,7938
2691,བསྡོངས,6,7918
2692,བསྲུབས,6,7912
2693,པིར,3,7896
2694,ཀྲུ,3,7890
2695,ལུམ,3,7886
2696,རྨེན,4,7886
2697,འབོགས,5,7878
2698,པྲི,3,7878
2699,དེངས,4,7874
2700,སིན,3,7864
2701,རིད,3,7856
2702,ཕོན,3,7830
2703,ལྕུག,4,7804
2704,ཤོན,3,7784
2705,དཔགས,4,7778
2706,ཅོལ,3,7762
2707,སྦང,3,7720
2708,དམུལ,4,7718
2709,བགྲོས,5,7714
2710,ཁྱོས,4,7708
2711,གསིལ,4,7706
2712,གླག,3,7700
2713,ཤོམ,3,7652
2714,བསྒྲིམས,7,7644
2715,ཁུའུ,4,7638
2716,བཅལ,3,7632
2717,ཕྱུ,3,7626
2718,འཕོངས,5,7618
2719,བསྲན,4,7618
2720,དབོ,3,7618
2721,བསྡུད,5,7596
2722,སྦུབ,4,7590
2723,པིང,3,7584
2724,ཏར,2,7582
2725,སྤགས,4,7576
2726,བགྲད,4,7568
2727,ཀྱག,3,7556
2728,བརྡབ,4,7554
2729,གནངས,4,7524
2730,སྒྱོགས,6,7510
2731,དགྲར,4,7510
2732,གསེད,4,7504
2733,མཆེར,4,7496
2734,སྤུང,4,7484
2735,ཅིབ,3,7476
2736,མནོ,3,7476
2737,བསོ,3,7466
2738,ཐེལ,3,7464
2739,བཀྲས,4,7438
2740,སྐུང,4,7436
2741,འཛུད,4,7432
2742,བཀྲམས,5,7430
2743,ཁེན,3,7418
2744,རྫོངས,5,7372
2745,སྙིར,4,7366
2746,ཕིགས,4,7350
2747,བསྡིགས,6,7338
2748,ཚོཌ,3,7336
2749,པེན,3,7334
2750,རྔན,3,7332
2751,ཀུམ,3,7326
2752,སྙིམ,4,7320
2753,མྲ,2,7304
2754,དཔྱིས,5,7290
2755,བཞུས,4,7286
2756,བྱིལ,4,7258
2757,བརྡའ,4,7256
2758,བྲེགས,5,7250
2759,གཡོད,4,7236
2760,མཐེའུ,5,7232
2761,ཚས,2,7220
2762,མཆོར,4,7218
2763,སྤྲུ,4,7186
2764,ཚིང,3,7172
2765,བྱོ,3,7146
2766,རྟར,3,7136
2767,རྟས,3,7128
2768,སྔུན,4,7126
2769,བདོ,3,7100
2770,བཀྱོན,5,7098
2771,མདེའུ,5,7090
2772,ཕྲོམ,4,7066
2773,རྟེ,3,7048
2774,གཅལ,3,7042
2775,བསྐམས,5,7040
2776,ཀོའུ,4,7032
2777,དོས,3,7028
2778,ཟིམ,3,7028
2779,ལོབས,4,7026
2780,གསེག,4,7018
2781,ཨག,2,7018
2782,དཔྱི,4,7018
2783,ཏིན,3,7000
2784,ཧྥུང,4,6992
2785,ཁྱོར,4,6982
2786,དུན,3,6930
2787,བྱན,3,6926
2788,སྲེ,3,6926
2789,འཆམས,4,6922
2790,རྩེག,4,6918
2791,བསྒྲག,5,6914
2792,མྱུག,4,6906
2793,ཁྲིགས,5,6896
2794,རྟའུ,4,6892
2795,གིང,3,6870
2796,བརྣབ,4,6866
2797,རྙི,3,6862
2798,ཀུར,3,6844
2799,སྦོ,3,6818
2800,རྡང,3,6816
2801,བཤུག,4,6814
2802,སིག,3,6814
2803,འཁང,3,6808
2804,ཁངས,3,6802
2805,བདལ,3,6796
2806,གཏུན,4,6790
2807,འཇིབ,4,6770
2808,བགད,3,6766
2809,ཆལ,2,6752
2810,མདེལ,4,6750
2811,བསེར,4,6750
2812,ནོག,3,6742
2813,གའུ,3,6742
2814,བཞོ,3,6714
2815,ཁུད,3,6692
2816,རྨུ,3,6690
2817,བསྙིལ,5,6680
2818,མདོང,4,6668
2819,སྐྲི,4,6648
2820,སྡུ,3,6642
2821,སྤྲུག,5,6640
2822,ཥེ,2,6634
2823,ལྷུམས,5,6616
2824,ཁན,2,6610
2825,ཁྲུམས,5,6586
2826,འཁུ,3,6578
2827,སྐག,3,6574
2828,ཕད,2,6568
2829,ཏེའུ,4,6564
2830,སེའུ,4,6538
2831,ཧྲའན,4,6534
2832,སྤྱུགས,6,6520
2833,མདོངས,5,6496
2834,མཁུར,4,6486
2835,དམས,3,6480
2836,དིར,3,6478
2837,དྲུ,3,6472
2838,ལྡི,3,6468
2839,སློ,3,6468
2840,གཙགས,4,6440
2841,འབྲེག,5,6438
2842,ཐུད,3,6430
2843,བྲེས,4,6416
2844,དྲུངས,5,6402
2845,ཧབ,2,6402
2846,གྭ,2,6396
2847,གཏུབས,5,6384
2848,མུད,3,6380
2849,བཀྲི,4,6380
2850,ཕིག,3,6336
2851,ཕྲུགས,5,6330
2852,སྟོབ,4,6324
2853,ཧལ,2,6322
2854,མནོལ,4,6272
2855,གཟེ,3,6270
2856,བརྫེས,5,6260
2857,རྩིང,4,6256
2858,གནུབས,5,6256
2859,འདྲས,4,6232
2860,བཙུད,4,6230
2861,འདྲོངས,6,6228
2862,ཁྱ,2,6224
2863,དམུས,4,6206
2864,བཏུམས,5,6198
2865,འཐས,3,6150
2866,སྐྱེགས,6,6126
2867,སྐོ,3,6118
2868,ཙིར,3,6116
2869,གཡོར,4,6110
2870,རློག,4,6108
2871,སྡོ,3,6106
2872,འཕེར,4,6102
2873,མིའུ,4,6034
2874,བསྟིམས,6,6032
2875,དངགས,4,6020
2876,སྤྱོན,5,6016
2877,གཟེབ,4,6012
2878,བསྒྲོན,6,6004
2879,བརྟ,3,6000
2880,ལྡ,2,6000
2881,བདས,3,5996
2882,གཏོལ,4,5992
2883,ཞེད,3,5990
2884,སྨྲེང,5,5988
2885,ཁྲིས,4,5978
2886,རུད,3,5972
2887,གཉལ,3,5964
2888,འཇུར,4,5952
2889,རེམ,3,5950
2890,ཉུག,3,5912
2891,བརྐུ,4,5906
2892,འབམ,3,5900
2893,བརྔ,3,5886
2894,བླར,3,5882
2895,བྲུན,4,5872
2896,ཐས,2,5870
2897,ཧྥོ,3,5864
2898,བགོད,4,5856
2899,ཙེར,3,5852
2900,ཀྲོན,4,5844
2901,སྒྱེ,4,5830
2902,བཤན,3,5828
2903,བཙགས,4,5818
2904,སྐྱས,4,5816
2905,ངོན,3,5788
2906,འགྲངས,5,5770
2907,འུད,3,5760
2908,བརྒྱངས,6,5752
2909,ཧོན,3,5748
2910,ཁྱེ,3,5746
2911,བཞར,3,5742
2912,རྒྱོབ,5,5740
2913,རུག,3,5736
2914,བརྩན,4,5734
2915,སྤོམ,4,5726
2916,ལྡོམ,4,5720
2917,ལྗར,3,5710
2918,འཛིངས,5,5700
2919,ལྷེ,3,5698
2920,གཤོལ,4,5682
2921,གདོས,4,5680
2922,འཕྲུ,4,5656
2923,བཀྱག,4,5648
2924,བསྒུགས,6,5644
2925,གསུར,4,5642
2926,བཀླུབས,6,5638
2927,ཐེབ,3,5616
2928,སྲམ,3,5612
2929,བསུབ,4,5608
2930,བཅིབས,5,5604
2931,རྩིད,4,5590
2932,སྐྱེངས,6,5580
2933,གཤའ,3,5580
2934,འགྲེས,5,5574
2935,སྣོལ,4,5570
2936,འགྱང,4,5552
2937,སྨྱོས,5,5544
2938,རྩས,3,5536
2939,གཤོམ,4,5536
2940,ཞིར,3,5526
2941,ཙོམ,3,5514
2942,འཇོར,4,5514
2943,ཧད,2,5512
2944,བཀྱགས,5,5512
2945,དཔྱང,4,5490
2946,བཙག,3,5480
2947,གསིང,4,5474
2948,སློན,4,5474
2949,ཟིས,3,5468
2950,གླས,3,5458
2951,བཙོད,4,5458
2952,གྲུག,4,5458
2953,གྲུལ,4,5450
2954,ཤུབ,3,5450
2955,འཁོས,4,5448
2956,སྦྲེང,5,5448
2957,སྤུད,4,5436
2958,བརྩལ,4,5412
2959,མེང,3,5402
2960,དྲིང,4,5400
2961,ནེམ,3,5388
2962,ཤུས,3,5386
2963,གཅུགས,5,5384
2964,མཇིང,4,5382
2965,ཟྭ,2,5382
2966,འགུ,3,5376
2967,སྟེངས,5,5348
2968,ནོས,3,5346
2969,གསོབ,4,5338
2970,གཤོངས,5,5326
2971,འཁྱར,4,5326
2972,སྙུན,4,5324
2973,རྡོས,4,5320
2974,མོའུ,4,5320
2975,བཅབས,4,5318
2976,གཡན,3,5298
2977,མཽད,3,5296
2978,བཞྀན,4,5294
2979,འཆུག,4,5278
2980,གཤིབས,5,5276
2981,གཅར,3,5274
2982,བོངས,4,5270
2983,འབྱམ,4,5224
2984,གྱིམ,4,5222
2985,དཀུ,3,5198
2986,ཨོང,3,5198
2987,གསའ,3,5194
2988,རྐོས,4,5184
2989,གཅུས,4,5168
2990,དབ,2,5164
2991,མགལ,3,5160
2992,ཀྲའུ,4,5160
2993,འབལ,3,5154
2994,བཤུལ,4,5152
2995,བཙུམ,4,5146
2996,སྙོར,4,5142
2997,བཀོག,4,5134
2998,རེང,3,5132
2999,རྫིག,4,5124
3000,དགྲམ,4,5112
3001,བསྭོ,4,5110
3002,འབྲེང,5,5100
3003,བསྙུང,5,5100
3004,ཀིས,3,5098
3005,ཐིས,3,5084
3006,བཞེར,4,5074
3007,བརྫི,4,5074
3008,ཕིབས,4,5060
3009,འེ,2,5058
3010,གཞུས,4,5054
3011,ཙེང,3,5048
3012,འཚུབས,5,5040
3013,སྐོས,4,5038
3014,བསྒར,4,5036
3015,བོའུ,4,5036
3016,འཁུམ,4,5032
3017,བསྲོ,4,5028
3018,ཧུབ,3,5026
3019,བསྟད,4,5022
3020,འགྲས,4,5018
3021,མནབས,4,5014
3022,འས,2,5000
3023,འདེ,3,4984
3024,བསྒུལ,5,4980
3025,འཁོགས,5,4964
3026,སྐྱུང,5,4962
3027,བརྣག,4,4946
3028,བསྐོང,5,4930
3029,སྦུར,4,4926
3030,ཀེར,3,4914
3031,ལྗི,3,4910
3032,བཤར,3,4902
